,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,½Â,¹«,ÆÐ,½Â·ü,±â´ë½Â·ü,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,WAR
0,2015,3,1,·Ôµ¥,3,3,0,0,1.000,-,8.00,24,5,4,14.3,23.5,0.379,0.303,0.415,0.525,0.940,0.413,-
1,2015,3,2,µÎ»ê,2,2,0,0,1.000,-,6.50,13,4,1,8.3,6.9,0.268,0.297,0.352,0.516,0.868,0.372,-
2,2015,3,3,KIA,2,2,0,0,1.000,-,5.00,10,4,2,12.3,9.6,0.260,0.283,0.380,0.550,0.930,0.402,-
3,2015,3,4,»ï¼º,3,2,0,1,0.667,-,5.67,17,3,8,8.0,12.0,0.347,0.319,0.379,0.469,0.848,0.379,-
4,2015,3,5,ÇÑÈ­,2,1,0,1,0.500,-,4.50,9,1,6,13.7,16.8,0.310,0.257,0.385,0.351,0.736,0.348,-
5,2015,3,6,SK,2,1,0,1,0.500,-,4.00,8,1,1,11.8,17.1,0.255,0.219,0.311,0.344,0.655,0.301,-
6,2015,3,7,Hero,2,1,0,1,0.500,-,4.00,8,2,2,11.8,16.5,0.228,0.205,0.318,0.342,0.660,0.306,-
7,2015,3,8,LG,3,0,0,3,0.000,-,2.67,8,0,3,9.4,16.0,0.359,0.298,0.362,0.404,0.766,0.348,-
8,2015,3,9,KT,3,0,0,3,0.000,-,6.33,19,2,2,15.2,17.6,0.342,0.284,0.403,0.412,0.815,0.369,-
9,2015,3,10,NC,2,0,0,2,0.000,-,2.50,5,0,2,7.9,11.8,0.300,0.269,0.329,0.313,0.642,0.299,-
10,2015,4,1,»ï¼º,23,15,0,8,0.652,-,5.35,123,36,29,10.7,16.8,0.289,0.271,0.353,0.468,0.821,0.360,-
11,2015,4,2,µÎ»ê,22,14,0,8,0.636,-,5.77,127,23,18,10.2,15.5,0.312,0.281,0.360,0.445,0.805,0.358,-
12,2015,4,3,LG,23,13,0,10,0.565,-,4.78,110,20,21,11.3,19.8,0.312,0.259,0.356,0.384,0.740,0.338,-
13,2015,4,4,SK,22,12,0,10,0.545,-,5.46,120,19,15,11.8,19.7,0.337,0.278,0.374,0.407,0.781,0.356,-
14,2015,4,5,ÇÑÈ­,22,12,0,10,0.545,-,4.50,99,18,14,9.3,18.8,0.307,0.259,0.343,0.389,0.732,0.331,-
15,2015,4,6,Hero,23,12,0,11,0.522,-,6.56,151,32,7,8.8,21.0,0.355,0.299,0.371,0.496,0.867,0.382,-
16,2015,4,7,·Ôµ¥,22,11,0,11,0.500,-,5.59,123,31,19,11.4,22.6,0.315,0.264,0.360,0.452,0.812,0.362,-
17,2015,4,8,NC,22,10,0,12,0.455,-,5.86,129,25,31,7.6,18.9,0.319,0.276,0.347,0.439,0.786,0.349,-
18,2015,4,9,KIA,23,10,0,13,0.435,-,4.52,104,17,11,9.9,21.2,0.308,0.250,0.332,0.358,0.690,0.316,-
19,2015,4,10,KT,22,3,0,19,0.136,-,2.18,48,8,22,9.0,24.4,0.276,0.208,0.290,0.295,0.585,0.273,-
20,2015,5,1,NC,26,20,1,5,0.800,-,6.31,164,33,46,9.7,19.5,0.351,0.300,0.376,0.482,0.858,0.379,-
21,2015,5,2,Hero,27,15,1,11,0.577,-,6.26,169,44,18,9.6,21.2,0.346,0.294,0.372,0.494,0.866,0.380,-
22,2015,5,3,»ï¼º,25,14,0,11,0.560,-,5.80,145,28,25,11.3,15.2,0.317,0.287,0.375,0.437,0.812,0.364,-
23,2015,5,4,µÎ»ê,23,12,0,11,0.522,-,5.30,122,18,17,10.6,14.9,0.312,0.277,0.368,0.409,0.777,0.352,-
24,2015,5,5,·Ôµ¥,27,14,0,13,0.519,-,6.15,166,44,33,9.4,21.2,0.358,0.303,0.378,0.503,0.881,0.387,-
25,2015,5,6,SK,25,12,1,12,0.500,-,4.00,100,21,23,9.0,18.6,0.297,0.252,0.337,0.371,0.708,0.324,-
26,2015,5,7,ÇÑÈ­,27,13,0,14,0.481,-,5.26,142,25,12,10.7,18.6,0.302,0.257,0.353,0.398,0.751,0.339,-
27,2015,5,8,KIA,25,12,0,13,0.480,-,5.00,125,20,26,8.8,20.6,0.325,0.267,0.347,0.405,0.752,0.339,-
28,2015,5,9,LG,26,8,1,17,0.320,-,4.62,120,20,16,8.4,23.0,0.316,0.252,0.324,0.389,0.713,0.321,-
29,2015,5,10,KT,27,7,0,20,0.259,-,4.18,113,13,33,9.2,19.8,0.325,0.263,0.341,0.356,0.697,0.319,-
30,2015,6,1,Hero,21,12,0,9,0.571,-,6.29,132,30,12,11.1,18.2,0.329,0.289,0.374,0.465,0.839,0.373,-
31,2015,6,2,LG,23,13,0,10,0.565,-,5.00,115,22,21,8.6,19.9,0.331,0.277,0.350,0.428,0.778,0.348,-
32,2015,6,3,KIA,20,11,0,9,0.550,-,4.00,80,18,19,6.2,20.0,0.277,0.237,0.301,0.381,0.682,0.307,-
